participant_no,sentence_type_nor,sentence_type_nor_code,sentence_code,rating
9,unacceptable_mono_poss,2,1b,1
9,acceptable_di_refl,3,1c,5
9,acceptable_mono_refl,1,2a,1
9,unacceptable_di_poss,3,2d,1
9,unacceptable_mono_poss,2,3b,2
9,acceptable_di_refl,3,3c,5
9,acceptable_mono_refl,1,4a,4
9,unacceptable_di_poss,3,4d,3
9,unacceptable_mono_poss,2,5b,5
9,acceptable_di_refl,3,5c,4
9,acceptable_mono_refl,1,6a,5
9,unacceptable_di_poss,3,6d,3
9,unacceptable_mono_poss,2,7b,5
9,acceptable_di_refl,3,7c,5
9,acceptable_mono_refl,1,8a,5
9,unacceptable_di_poss,3,8d,4
9,unacceptable_mono_poss,2,9b,4
9,acceptable_di_refl,3,9c,5
9,acceptable_mono_refl,1,10a,1
9,unacceptable_di_poss,3,10d,3
10,unacceptable_mono_poss,2,1b,4
10,acceptable_di_refl,3,1c,3
10,acceptable_mono_refl,1,2a,4
10,unacceptable_di_poss,3,2d,5
10,unacceptable_mono_poss,2,3b,5
10,acceptable_di_refl,3,3c,4
10,acceptable_mono_refl,1,4a,3
10,unacceptable_di_poss,3,4d,3
10,unacceptable_mono_poss,2,5b,4
10,acceptable_di_refl,3,5c,4
10,acceptable_mono_refl,1,6a,2
10,unacceptable_di_poss,3,6d,4
10,unacceptable_mono_poss,2,7b,3
10,acceptable_di_refl,3,7c,4
10,acceptable_mono_refl,1,8a,4
10,unacceptable_di_poss,3,8d,4
10,unacceptable_mono_poss,2,9b,4
10,acceptable_di_refl,3,9c,1
10,acceptable_mono_refl,1,10a,5
10,unacceptable_di_poss,3,10d,4
11,unacceptable_mono_poss,2,1b,3
11,acceptable_di_refl,3,1c,4
11,acceptable_mono_refl,1,2a,4
11,unacceptable_di_poss,3,2d,1
11,unacceptable_mono_poss,2,3b,3
11,acceptable_di_refl,3,3c,5
11,acceptable_mono_refl,1,4a,4
11,unacceptable_di_poss,3,4d,5
11,unacceptable_mono_poss,2,5b,1
11,acceptable_di_refl,3,5c,5
11,acceptable_mono_refl,1,6a,5
11,unacceptable_di_poss,3,6d,5
11,unacceptable_mono_poss,2,7b,3
11,acceptable_di_refl,3,7c,5
11,acceptable_mono_refl,1,8a,4
11,unacceptable_di_poss,3,8d,5
11,unacceptable_mono_poss,2,9b,4
11,acceptable_di_refl,3,9c,3
11,acceptable_mono_refl,1,10a,1
11,unacceptable_di_poss,3,10d,1
12,unacceptable_mono_poss,2,1b,4
12,acceptable_di_refl,3,1c,4
12,acceptable_mono_refl,1,2a,5
12,unacceptable_di_poss,3,2d,1
12,unacceptable_mono_poss,2,3b,4
12,acceptable_di_refl,3,3c,2
12,acceptable_mono_refl,1,4a,4
12,unacceptable_di_poss,3,4d,3
12,unacceptable_mono_poss,2,5b,3
12,acceptable_di_refl,3,5c,5
12,acceptable_mono_refl,1,6a,2
12,unacceptable_di_poss,3,6d,4
12,unacceptable_mono_poss,2,7b,3
12,acceptable_di_refl,3,7c,3
12,acceptable_mono_refl,1,8a,3
12,unacceptable_di_poss,3,8d,2
12,unacceptable_mono_poss,2,9b,3
12,acceptable_di_refl,3,9c,3
12,acceptable_mono_refl,1,10a,5
12,unacceptable_di_poss,3,10d,2
13,unacceptable_mono_poss,2,1b,4
13,acceptable_di_refl,3,1c,2
13,acceptable_mono_refl,1,2a,5
13,unacceptable_di_poss,3,2d,3
13,unacceptable_mono_poss,2,3b,4
13,acceptable_di_refl,3,3c,4
13,acceptable_mono_refl,1,4a,4
13,unacceptable_di_poss,3,4d,5
13,unacceptable_mono_poss,2,5b,5
13,acceptable_di_refl,3,5c,5
13,acceptable_mono_refl,1,6a,4
13,unacceptable_di_poss,3,6d,4
13,unacceptable_mono_poss,2,7b,5
13,acceptable_di_refl,3,7c,5
13,acceptable_mono_refl,1,8a,5
13,unacceptable_di_poss,3,8d,3
13,unacceptable_mono_poss,2,9b,4
13,acceptable_di_refl,3,9c,1
13,acceptable_mono_refl,1,10a,5
13,unacceptable_di_poss,3,10d,NA
14,unacceptable_mono_poss,2,1b,5
14,acceptable_di_refl,3,1c,5
14,acceptable_mono_refl,1,2a,5
14,unacceptable_di_poss,3,2d,5
14,unacceptable_mono_poss,2,3b,5
14,acceptable_di_refl,3,3c,5
14,acceptable_mono_refl,1,4a,5
14,unacceptable_di_poss,3,4d,5
14,unacceptable_mono_poss,2,5b,3
14,acceptable_di_refl,3,5c,4
14,acceptable_mono_refl,1,6a,5
14,unacceptable_di_poss,3,6d,5
14,unacceptable_mono_poss,2,7b,5
14,acceptable_di_refl,3,7c,4
14,acceptable_mono_refl,1,8a,3
14,unacceptable_di_poss,3,8d,2
14,unacceptable_mono_poss,2,9b,3
14,acceptable_di_refl,3,9c,5
14,acceptable_mono_refl,1,10a,4
14,unacceptable_di_poss,3,10d,1
15,unacceptable_mono_poss,2,1b,4
15,acceptable_di_refl,3,1c,5
15,acceptable_mono_refl,1,2a,4
15,unacceptable_di_poss,3,2d,5
15,unacceptable_mono_poss,2,3b,3
15,acceptable_di_refl,3,3c,2
15,acceptable_mono_refl,1,4a,4
15,unacceptable_di_poss,3,4d,5
15,unacceptable_mono_poss,2,5b,4
15,acceptable_di_refl,3,5c,3
15,acceptable_mono_refl,1,6a,4
15,unacceptable_di_poss,3,6d,3
15,unacceptable_mono_poss,2,7b,5
15,acceptable_di_refl,3,7c,2
15,acceptable_mono_refl,1,8a,2
15,unacceptable_di_poss,3,8d,5
15,unacceptable_mono_poss,2,9b,3
15,acceptable_di_refl,3,9c,1
15,acceptable_mono_refl,1,10a,2
15,unacceptable_di_poss,3,10d,4
